Sr.No,Name,Price,URL
1,"HOEXL 42L Expandable Laptop Backpack - Premium Laptop Backpacks for Men, Women for Travel, School, College - Tech Bag with USB - Bagpacker Bag for Men, 17 inch Laptop Bags for Multipurpose with Water-resistant, Smart Bag with Multiple Compartments ","2,009.",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2Njc4Mjg3MjIyNDA5NTk4OjE2OTI3MTEyNzA6c3BfYXRmX25leHQ6MzAwMDEyMzM5NDMyODMyOjowOjo&url=%2FHOEXL-Expandable-Laptop-Backpack-Water-resistant%2Fdp%2FB0C3J2RLHP%2Fref%3Dsr_1_273_sspa%3Fkeywords%3Dbags%26qid%3D1692711270%26sr%3D8-273-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
2,FUR JADEN Pro Series Smart Tech Anti-Theft Laptop Backpack With USB-A and USB-C Type Charging Port for Men & Women For Business Professionals & College Students ,"3,219.",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2Njc4Mjg3MjIyNDA5NTk4OjE2OTI3MTEyNzA6c3BfYXRmX25leHQ6MjAxNTM5NjI0MjE0OTg6OjA6Og&url=%2FFUR-JADEN-Anti-Theft-Backpack-Professionals%2Fdp%2FB0C28QQMFJ%2Fref%3Dsr_1_274_sspa%3Fkeywords%3Dbags%26qid%3D1692711270%26sr%3D8-274-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
3,CAPRIFF 32 L Casual Waterproof Laptop Bag/Backpack for Men Boys & Girls For Office School College Teens & Students with Rain Cover With adjustable Strap With 2 Compartment ,"2,699",https://www.amazon.in/Waterproof-Backpack-Students-adjustable-Compartment/dp/B09V5HRYR7/ref=sr_1_275?keywords=bags&qid=1692711270&sr=8-275
4,Lenovo 16-inch Value Lite Backpack- Black ,"3,499",https://www.amazon.in/Lenovo-16-inch-Value-Backpack-Black/dp/B09QCYXZ1H/ref=sr_1_276?keywords=bags&qid=1692711270&sr=8-276
5,Tommy Hilfiger Connor Laptop Backpack ,699,https://www.amazon.in/Hilfiger-Connor-Backpack-TH-CONNORLAP20/dp/B07N8HPP97/ref=sr_1_277?keywords=bags&qid=1692711270&sr=8-277
6,PUMA Laptop Backpack IND II Black-CASTLEROCK ,999,https://www.amazon.in/PUMA-Laptop-Backpack-IND-Black-CASTLEROCK/dp/B08BV2S9K1/ref=sr_1_278?keywords=bags&qid=1692711270&sr=8-278
7,Aristocrat Unisex Black Oxford Fabric 28.82L Laptop Bags ,"1,649",https://www.amazon.in/Aristocrat-Unisex-Oxford-Fabric-28-82L/dp/B09ZV86P4S/ref=sr_1_279?keywords=bags&qid=1692711270&sr=8-279
8,Wesley Milestone 15.6 inch 25 L Casual Waterproof Laptop Backpack/Office Bag/School Bag/College Bag/Business Bag/Unisex Travel Backpack (Black) ,"1,155",https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B07NJRPJ6Q/ref=sr_1_280?keywords=bags&qid=1692711270&sr=8-280
9,"HARISSONS Nemesis Laptop Bag 15.6 Inch for Office College School 20L, Polyester Backpacks for Men And Women | Spacious Organizer Front Pockets With Easy Grab Handle | Water Resistant ",754,https://www.amazon.in/Harissons-Nemesis-Office-Laptop-Backpacks/dp/B09D3XYL3T/ref=sr_1_281?keywords=bags&qid=1692711270&sr=8-281
10,"uppercase Apex Professional Laptop Backpack (15.6 Inch) 3x more water resistant sustainable bags with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty ",448,https://www.amazon.in/Uppercase-Professional-Backpack-Resistant-Sustainable/dp/B0BWNBQXDZ/ref=sr_1_282?keywords=bags&qid=1692711270&sr=8-282
11,"Arctic Hunter Hard-Top 15.6"" Laptop Bag 21L (Model Secure) Anti-Theft Built-in Combination Lock, Waterproof for Office, College, Men, Women ","1,169",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2Njc4Mjg3MjIyNDA5NTk4OjE2OTI3MTEyNzA6c3BfbXRmOjIwMTUzMDM4Nzg5MTk4OjowOjo&url=%2FSecure-Combination-Waterproof-College-Walkent%2Fdp%2FB09T71WXSF%2Fref%3Dsr_1_283_sspa%3Fkeywords%3Dbags%26qid%3D1692711270%26sr%3D8-283-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
