Sr.No,Name,Price,URL
1,"uppercase Medium 23 Ltrs Tall Boy (14.6 inch) Laptop Backpack 2500EBP1 3x more water resistant sustainable bag with rain proof zippers for Men, Women, Boys and Girls, 750 Days warranty ","2,009.",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NDU2MjIwNDU1NDc3NTk4OjE2OTI3MTA3NDY6c3BfYXRmOjIwMDY1NTMzNjg0Njk4OjowOjo&url=%2FUppercase-Medium-Size-Backpack-_Blue%2Fdp%2FB0B81YTTWS%2Fref%3Dsr_1_1_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1692710746%26sprefix%3Dba%252Caps%252C283%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
2,Victorinox 15 Ltrs Black Bag Organizer (602155) ,"3,219.",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo0NDU2MjIwNDU1NDc3NTk4OjE2OTI3MTA3NDY6c3BfYXRmOjIwMTY0NzU2ODg5Mjk4OjowOjo&url=%2FVictorinox-Altmont-Professional-Deluxe-Backpack%2Fdp%2FB072F1S1NC%2Fref%3Dsr_1_2_sspa%3Fcrid%3D2M096C61O4MLT%26keywords%3Dbags%26qid%3D1692710746%26sprefix%3Dba%252Caps%252C283%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
3,Skybags Brat Black 46 Cms Casual Backpack ,"1,700",https://www.amazon.in/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD/ref=sr_1_3?crid=2M096C61O4MLT&keywords=bags&qid=1692710746&sprefix=ba%2Caps%2C283&sr=8-3
4,American Tourister Fizz Large Size 32 Ltrs Casual Backpack (BLACK) ,"12,560",https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_4?crid=2M096C61O4MLT&keywords=bags&qid=1692710746&sprefix=ba%2Caps%2C283&sr=8-4
5,Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover ,669,https://www.amazon.in/Half-Moon-Backpack-Luggage-Compartment/dp/B09VCLZ3K4/ref=sr_1_5?crid=2M096C61O4MLT&keywords=bags&qid=1692710746&sprefix=ba%2Caps%2C283&sr=8-5
6,POLICE Backpack for Men Casual Laptop Bag Office/Travel/College 30 Ltr Hedge Polyester - Black ,"1,199",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2MzA2NTg4MTU1NTg2NTk4OjE2OTI3MTA3NDY6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDAxMzM0Mjk4MzgzMjo6MDo6&url=%2FPolice-Polyester-laptop-casual-backpack%2Fdp%2FB09CQ5T3LN%2Fref%3Dsxin_17_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.ad613068-4e07-4c11-9002-4e34465b1e37%253Aamzn1.sym.ad613068-4e07-4c11-9002-4e34465b1e37%26crid%3D2M096C61O4MLT%26cv_ct_cx%3Dbags%26keywords%3Dbags%26pd_rd_i%3DB09CQ5T3LN%26pd_rd_r%3D291cfabd-e931-41c2-8ffb-4651da59c3d7%26pd_rd_w%3D9KihM%26pd_rd_wg%3DT3pHd%26pf_rd_p%3Dad613068-4e07-4c11-9002-4e34465b1e37%26pf_rd_r%3DCSY5S9S5EC9S2V2JA50E%26qid%3D1692710746%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dba%252Caps%252C283%26sr%3D1-1-0ed3791a-248a-486c-a919-e58e3b366666-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
7,FUR JADEN Pro Series Smart Tech Anti-Theft Laptop Backpack With USB-A and USB-C Type Charging Port for Men & Women For Business Professionals & College Students ,849,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2MzA2NTg4MTU1NTg2NTk4OjE2OTI3MTA3NDY6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMTUzOTYyNDIxNDk4OjoxOjo&url=%2FFUR-JADEN-Anti-Theft-Backpack-Professionals%2Fdp%2FB0C28QQMFJ%2Fref%3Dsxin_17_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.ad613068-4e07-4c11-9002-4e34465b1e37%253Aamzn1.sym.ad613068-4e07-4c11-9002-4e34465b1e37%26crid%3D2M096C61O4MLT%26cv_ct_cx%3Dbags%26keywords%3Dbags%26pd_rd_i%3DB0C28QQMFJ%26pd_rd_r%3D291cfabd-e931-41c2-8ffb-4651da59c3d7%26pd_rd_w%3D9KihM%26pd_rd_wg%3DT3pHd%26pf_rd_p%3Dad613068-4e07-4c11-9002-4e34465b1e37%26pf_rd_r%3DCSY5S9S5EC9S2V2JA50E%26qid%3D1692710746%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dba%252Caps%252C283%26sr%3D1-2-0ed3791a-248a-486c-a919-e58e3b366666-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
8,"Half Moon Vision Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men, Blue | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment | (Navy and Black) ","1,399",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2MzA2NTg4MTU1NTg2NTk4OjE2OTI3MTA3NDY6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMTMyMDU4NzMyMjk4OjoyOjo&url=%2FHalf-Moon-Resistant-Backpack-Compartment%2Fdp%2FB0BYW5SH4L%2Fref%3Dsxin_17_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.ad613068-4e07-4c11-9002-4e34465b1e37%253Aamzn1.sym.ad613068-4e07-4c11-9002-4e34465b1e37%26crid%3D2M096C61O4MLT%26cv_ct_cx%3Dbags%26keywords%3Dbags%26pd_rd_i%3DB0BYW5SH4L%26pd_rd_r%3D291cfabd-e931-41c2-8ffb-4651da59c3d7%26pd_rd_w%3D9KihM%26pd_rd_wg%3DT3pHd%26pf_rd_p%3Dad613068-4e07-4c11-9002-4e34465b1e37%26pf_rd_r%3DCSY5S9S5EC9S2V2JA50E%26qid%3D1692710746%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dba%252Caps%252C283%26sr%3D1-3-0ed3791a-248a-486c-a919-e58e3b366666-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
9,"Arctic Hunter Backpack for Men Stylish 15.6-inch Laptop Bag with Separate Laptop Pocket and Anti-theft Water-resistant Pocket PU Coating YKK Zipper Multiple Compartments Laptop Backpack for Business College and Daily Use,Black ","3,499",https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2MzA2NTg4MTU1NTg2NTk4OjE2OTI3MTA3NDY6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMTI0NzE4NzIyMzk4OjozOjo&url=%2FBackpack-Charging-Business-Water-resistant-Anti-theft%2Fdp%2FB0B6FRHV7C%2Fref%3Dsxin_17_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.ad613068-4e07-4c11-9002-4e34465b1e37%253Aamzn1.sym.ad613068-4e07-4c11-9002-4e34465b1e37%26crid%3D2M096C61O4MLT%26cv_ct_cx%3Dbags%26keywords%3Dbags%26pd_rd_i%3DB0B6FRHV7C%26pd_rd_r%3D291cfabd-e931-41c2-8ffb-4651da59c3d7%26pd_rd_w%3D9KihM%26pd_rd_wg%3DT3pHd%26pf_rd_p%3Dad613068-4e07-4c11-9002-4e34465b1e37%26pf_rd_r%3DCSY5S9S5EC9S2V2JA50E%26qid%3D1692710746%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dba%252Caps%252C283%26sr%3D1-4-0ed3791a-248a-486c-a919-e58e3b366666-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
10,Martucci Large 35 L Backpack Spacy Unisex/College/School/Travel Backpack with Rain Cover and Reflective Strip ,599,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo2MzA2NTg4MTU1NTg2NTk4OjE2OTI3MTA3NDY6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMTI5NTc1MjcyNjk4Ojo0Ojo&url=%2FMartucci-Laptop-Backpack-College-Reflective%2Fdp%2FB0B7DT6HY3%2Fref%3Dsxin_17_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.ad613068-4e07-4c11-9002-4e34465b1e37%253Aamzn1.sym.ad613068-4e07-4c11-9002-4e34465b1e37%26crid%3D2M096C61O4MLT%26cv_ct_cx%3Dbags%26keywords%3Dbags%26pd_rd_i%3DB0B7DT6HY3%26pd_rd_r%3D291cfabd-e931-41c2-8ffb-4651da59c3d7%26pd_rd_w%3D9KihM%26pd_rd_wg%3DT3pHd%26pf_rd_p%3Dad613068-4e07-4c11-9002-4e34465b1e37%26pf_rd_r%3DCSY5S9S5EC9S2V2JA50E%26qid%3D1692710746%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dba%252Caps%252C283%26sr%3D1-5-0ed3791a-248a-486c-a919-e58e3b366666-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
